split_bucket,denominator_type,operating_point_id,score_action_bucket,label_class,row_n,row_share,mean_y_payoff_h20,mean_continue_value,mean_defend_value,mean_defend_advantage,sum_incremental_return,mean_incremental_return_on_full_denominator,positive_opportunity_cost,negative_avoidance_gain,neutral_contribution,continued_positive_retained,continued_negative_leakage,decomposition_status,blocking_reason
validation,labelable_full,continue_top30_defend_rest,defended,positive,207,0.3117469879518072,0.1272709814672927,0.1272709814672927,-0.004999999999999999,-0.1322709814672927,-27.380093163729583,-0.041235080065857806,0.041235080065857806,0.0,0.0,0.0,0.0,pass,
validation,labelable_full,continue_top30_defend_rest,defended,negative,140,0.21084337349397592,-0.10440857652814271,-0.10440857652814271,-0.005,0.09940857652814271,13.917200713939978,0.02095963962942768,0.0,0.022454450570787085,0.0,0.0,0.0,pass,
validation,labelable_full,continue_top30_defend_rest,defended,neutral,117,0.17620481927710843,-0.045351357796713926,-0.045351357796713926,-0.005,0.04035135779671393,4.721108862215529,0.007110103708155918,0.0,0.0,0.007110103708155918,0.0,0.0,pass,
validation,labelable_full,continue_top30_defend_rest,continued,positive,118,0.17771084337349397,0.14976597625276658,0.14976597625276658,-0.005,-0.15476597625276656,0.0,0.0,0.0,0.0,0.0,0.027503592165401287,0.0,pass,
validation,labelable_full,continue_top30_defend_rest,continued,negative,40,0.060240963855421686,-0.12125331412897922,-0.12125331412897922,-0.005,0.11625331412897918,0.0,0.0,0.0,0.0,0.0,0.0,0.007181787221413244,pass,
validation,labelable_full,continue_top30_defend_rest,continued,neutral,42,0.06325301204819277,-0.04249519337133938,-0.04249519337133938,-0.005,0.03749519337133938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
train,labelable_full,continue_top20_defend_rest,defended,positive,7633,0.3770313657693258,0.10859035205814822,0.10859035205814822,-0.005,-0.11359035205814821,-867.0351572598453,-0.04282712557470216,0.04282712557470216,0.0,0.0,0.0,0.0,pass,
train,labelable_full,continue_top20_defend_rest,defended,negative,4143,0.2046431217584589,-0.10834029755287344,-0.10834029755287344,-0.005,0.10334029755287344,428.13885276155463,0.021147881094668048,0.0,0.02263385588525969,0.0,0.0,0.0,pass,
train,labelable_full,continue_top20_defend_rest,defended,neutral,4420,0.21832551247221535,-0.04038743137699073,-0.04038743137699073,-0.004999999999999999,0.035387431376990734,156.41244668629903,0.0077259790904568556,0.0,0.0,0.0077259790904568556,0.0,0.0,pass,
train,labelable_full,continue_top20_defend_rest,continued,positive,2445,0.12077056063225487,0.12897831684786804,0.12897831684786804,-0.005,-0.13397831684786804,0.0,0.0,0.0,0.0,0.0,0.0161806364382829,0.0,pass,
train,labelable_full,continue_top20_defend_rest,continued,negative,741,0.036601630032106695,-0.09513811900451741,-0.09513811900451741,-0.004999999999999999,0.09013811900451739,0.0,0.0,0.0,0.0,0.0,0.0,0.003759725594821336,pass,
