factor_id,horizon,train_mean_rankIC,direction_i
alpha186,H5,0.002426667668876722,1.0
alpha187,H1,0.008503434147391272,1.0
alpha187,H10,0.028043938604167058,1.0
alpha187,H20,0.04440461125048872,1.0
alpha187,H3,0.011307325170249722,1.0
alpha187,H5,0.012108637424847931,1.0
alpha188,H1,0.00891637128044269,1.0
alpha188,H10,0.0034407817986983175,1.0
alpha188,H20,-5.612685535366796e-05,-1.0
alpha188,H3,0.004466957840169322,1.0
alpha188,H5,-0.00204985004753048,-1.0
alpha189,H1,0.006589592513319754,1.0
alpha189,H10,0.033294016635450174,1.0
alpha189,H20,0.04619735567786922,1.0
alpha189,H3,0.015286649528911518,1.0
