segment_id,start_date,end_date,regime,trading_days,start_close,end_close,calendar_days,return_in_segment
198,2025-02-19,2025-03-04,risk_on,10,4893.41,4882.45,14,-0.0022397469249459956
199,2025-03-05,2025-03-05,transition,1,4905.03,4905.03,1,0.0
200,2025-03-06,2025-03-12,risk_on,5,4985.97,4979.87,7,-0.001223432952865866
201,2025-03-13,2025-03-13,transition,1,4935.97,4935.97,1,0.0
202,2025-03-14,2025-03-14,risk_on,1,5037.25,5037.25,1,0.0
203,2025-03-17,2025-03-17,transition,1,5042.84,5042.84,1,0.0
204,2025-03-18,2025-03-28,risk_on,9,5060.94,4868.75,11,-0.03797515876497248
205,2025-03-31,2025-04-02,transition,3,4826.86,4847.56,3,0.004288502256125204
206,2025-04-03,2025-04-03,risk_on,1,4809.73,4809.73,1,0.0
207,2025-04-07,2025-04-09,risk_off,3,4365.18,4486.47,3,0.027785795774744715
208,2025-04-10,2025-04-11,transition,2,4571.47,4603.03,2,0.0069036874353325395
209,2025-04-14,2025-04-16,risk_on,3,4643.07,4612.72,3,-0.006536623397881081
210,2025-04-17,2025-04-17,transition,1,4617.88,4617.88,1,0.0
211,2025-04-18,2025-04-23,risk_on,4,4616.84,4681.08,6,0.013914279030678989
212,2025-04-24,2025-04-24,transition,1,4658.58,4658.58,1,0.0
213,2025-04-25,2025-04-28,risk_on,2,4667.56,4639.9,4,-0.005926008449811171
214,2025-04-29,2025-04-29,transition,1,4649.04,4649.04,1,0.0
215,2025-04-30,2025-05-08,risk_on,4,4666.8,4807.39,9,0.03012556784091891
216,2025-05-09,2025-05-09,transition,1,4773.33,4773.33,1,0.0
217,2025-05-12,2025-05-12,risk_on,1,4834.22,4834.22,1,0.0
218,2025-05-13,2025-05-13,transition,1,4831.24,4831.24,1,0.0
219,2025-05-14,2025-05-14,risk_on,1,4864.48,4864.48,1,0.0
220,2025-05-15,2025-06-24,transition,28,4807.4,4868.08,41,0.012622207430211807
221,2025-06-25,2025-11-21,risk_on,102,4933.59,5575.48,150,0.1301060688058795
222,2025-11-24,2025-11-26,transition,3,5608.69,5690.08,3,0.014511409972738809
223,2025-11-27,2025-12-01,risk_on,3,5690.01,5787.18,5,0.0170772986339216
224,2025-12-02,2025-12-02,transition,1,5750.4,5750.4,1,0.0
225,2025-12-03,2025-12-12,risk_on,8,5710.58,5787.86,10,0.013532776005239278
226,2025-12-15,2025-12-18,transition,4,5751.55,5733.55,4,-0.0031295911536890486
227,2025-12-19,2026-03-20,risk_on,58,5777.54,5965.89,92,0.032600380092565384
228,2026-03-23,2026-03-23,risk_off,1,5723.41,5723.41,1,0.0
229,2026-03-24,2026-03-30,risk_on,5,5843.73,5925.21,7,0.01394314932414753
230,2026-03-31,2026-03-31,transition,1,5842.34,5842.34,1,0.0
231,2026-04-01,2026-04-01,risk_on,1,5946.58,5946.58,1,0.0
232,2026-04-02,2026-04-07,transition,3,5860.44,5822.75,6,-0.006431257721263184
233,2026-04-08,2026-04-08,risk_on,1,6059.75,6059.75,1,0.0
234,2026-04-09,2026-04-17,transition,7,6020.05,6254.11,9,0.03888007574687902
235,2026-04-20,2026-04-24,risk_on,5,6300.21,6271.17,5,-0.004609370163851656
236,2026-04-27,2026-04-28,transition,2,6296.45,6246.71,2,-0.007899689507579688
237,2026-04-29,2026-05-28,risk_on,19,6328.36,6480.47,30,0.02403624319728981
238,2026-05-29,2026-05-29,transition,1,6368.84,6368.84,1,0.0
